country_iso_3,state_code,state_name,county_name,city_name,category,pest_name,starts_at,ends_at,source_url,reason,is_active,data_source,confidence,raw_organism,scraped_at
USA,CA,California,,,ALL,Light Brown Apple Moth,2018-08-20,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2018 LBAM LA - Malibu,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-04T16:00:30.199Z
USA,CA,California,Fresno,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 Fresno County,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-04T16:00:30.199Z
USA,CA,California,Imperial,,citrus,Sweet orange scab,2023-09-30,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — SOS Imperial Calipatria,true,CDFA_ARCGIS,HIGH,Sweet orange scab,2026-04-04T16:00:30.199Z
USA,CA,California,Kern,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 Kern County,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-04T16:00:30.199Z
USA,CA,California,Los Angeles,,produce,Caribbean fruit fly,2025-10-02,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2025 CaribbeanFF Los Angeles County - Los Angeles,true,CDFA_ARCGIS,HIGH,Caribbean fruit fly,2026-04-04T16:00:30.199Z
USA,CA,California,Los Angeles,,citrus,Citrus Yellow Vein Clearing Virus,2025-10-01,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — CYVCV - Los Angeles - Hacienda Heights,true,CDFA_ARCGIS,HIGH,CYVCV,2026-04-04T16:00:30.199Z
USA,CA,California,Los Angeles,,plants,Curly Top Virus,1998-12-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 1998 CTV Los Angeles,true,CDFA_ARCGIS,HIGH,Curly Top Virus,2026-04-04T16:00:30.199Z
USA,CA,California,Los Angeles,,citrus,Sweet orange scab,2023-09-30,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — SOS Los Angeles San Bernardino Pomona,true,CDFA_ARCGIS,HIGH,Sweet orange scab,2026-04-04T16:00:30.199Z
USA,CA,California,Marin,,ALL,Light Brown Apple Moth,2019-05-16,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2019 LBAM Marin - Tomales,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-04T16:00:30.199Z
USA,CA,California,Mendocino,,ALL,Light Brown Apple Moth,2017-09-05,,https://data.ca.gov/dataset/quarantine-boundaries-view-layer-for-public,CDFA quarantine — 2015 LBAM Mendocino - Fort Bragg,true,CDFA_ARCGIS,HIGH,Light Brown Apple Moth,2026-04-04T16:00:30.199Z
